actual,error,index,col,want_to_clean
3:50 p.m.,3:29 p.m. (Estimated runway),2362,act_arr_time,1
11:50 p.m.,11:35 p.m. (Estimated runway),2358,act_arr_time,1
12:15 a.m.,11:49 p.m. (Estimated runway),2357,act_arr_time,1
12:29 a.m.,12:01 a.m. (Estimated runway),2356,act_arr_time,1
5:50 a.m.,5:42 a.m. (Estimated runway),2355,act_arr_time,1
3:30 p.m.,3:20 p.m. (runway),2339,act_arr_time,1
6:55 a.m.,6:35 a.m. (Estimated runway),2328,act_arr_time,1
12:21 a.m.,12:21 a.m. (Estimated),2326,act_arr_time,1
7:25 p.m.,7:25 p.m. (Estimated runway),2325,act_arr_time,1
10:30 p.m.,10:30 p.m. (Estimated),2324,act_arr_time,1
11:12 a.m.,10:52 a.m.,2320,act_arr_time,1
6:19 a.m.,6:09 a.m.,2319,act_arr_time,1
6:36 p.m.,6:33 p.m.,2318,act_arr_time,1
12:50 p.m.,12:37 p.m.,2317,act_arr_time,1
5:38 p.m.,5:34 p.m.,2316,act_arr_time,1
3:14 p.m.,3:12 p.m.,2315,act_arr_time,1
6:15 p.m.,6:11 p.m.,2314,act_arr_time,1
6:43 p.m.,6:30 p.m.,2313,act_arr_time,1
3:13 p.m.,2:49 p.m.,2312,act_arr_time,1
1:43 p.m.,1:42 p.m.,2311,act_arr_time,1
11:06 a.m.,11:04 a.m.,2310,act_arr_time,1
5:43 p.m.,5:39 p.m.,2309,act_arr_time,1
3:43 p.m.,3:36 p.m.,2308,act_arr_time,1
9:20 p.m.,9:11 p.m.,2307,act_arr_time,1
6:40 p.m.,6:56 p.m.,2306,act_arr_time,1
5:11 a.m.,5:21 a.m.,2305,act_arr_time,1
3:50 p.m.,3:40 p.m.,2304,act_arr_time,1
11:44 a.m.,11:33 a.m.,2303,act_arr_time,1
10:04 a.m.,9:45 a.m.,2302,act_arr_time,1
11:50 p.m.,11:35 p.m.,2301,act_arr_time,1
12:15 a.m.,12:01 a.m.,2300,act_arr_time,1
12:29 a.m.,12:19 a.m.,2299,act_arr_time,1
4:17 p.m.,4:06 p.m.,2298,act_arr_time,1
4:23 p.m.,4:20 p.m.,2297,act_arr_time,1
3:04 p.m.,2:58 p.m.,2296,act_arr_time,1
9:53 p.m.,9:47 p.m.,2295,act_arr_time,1
6:38 p.m.,6:34 p.m.,2294,act_arr_time,1
7:55 p.m.,7:43 p.m.,2293,act_arr_time,1
9:31 a.m.,9:26 a.m.,2292,act_arr_time,1
7:51 a.m.,7:49 a.m.,2291,act_arr_time,1
12:09 p.m.,12:02 p.m.,2290,act_arr_time,1
12:21 a.m.,12:02 a.m.,2289,act_arr_time,1
3:16 p.m.,3:04 p.m.,2288,act_arr_time,1
8:53 p.m.,8:38 p.m.,2287,act_arr_time,1
10:36 a.m.,10:29 a.m.,2285,act_arr_time,1
3:33 p.m.,3:26 p.m.,2284,act_arr_time,1
2:46 p.m.,2:39 p.m.,2283,act_arr_time,1
2:27 p.m.,2:21 p.m.,2282,act_arr_time,1
9:52 p.m.,8:46 p.m.,2281,act_arr_time,1
