actual,error,edit,prob_e,fasttext,prob_f,textual,uniqueness,eflag,fflag
10:30 p.m.,,NAE,0.0,11:21 a.m.,0.9846708178520203,False,True,False,False
7:25 p.m.,,NAE,0.0,7:25 p.m.,0.9936389327049255,False,True,False,True
6:55 a.m.,,NAE,0.0,8:02 a.m.,0.8962806463241577,False,True,False,False
5:50 a.m.,,NAE,0.0,11:21 a.m.,0.9846708178520203,False,True,False,False
12:15 a.m.,,NAE,0.0,11:21 a.m.,0.9846708178520203,False,True,False,False
11:50 p.m.,,NAE,0.0,11:21 a.m.,0.9846708178520203,False,True,False,False
3:50 p.m.,,NAE,0.0,11:21 a.m.,0.9846708178520203,False,True,False,False
9:20 p.m.,,NAE,0.0,8:02 a.m.,0.9803991913795471,False,True,False,False
9:32 a.m.,9:22 a.m.,9:28 a.m.,0.5031706892052319,8:02 a.m.,0.4209112823009491,False,True,False,False
10:29 p.m.,,NAE,0.0,10:29 p.m.,0.9994537234306335,False,True,False,True
9:28 a.m.,9:14 a.m.,NAE,0.5014634104554633,6:34 p.m.,0.5116776823997498,False,True,False,False
11:58 a.m.,11:30 a.m.,11:32 a.m.,0.5029267958391721,1:14 p.m.,0.5302940011024475,False,True,False,False
9:43 a.m.,9:29 a.m.,9:28 a.m.,0.5031706892052319,9:43 a.m.,0.9978960752487183,False,True,False,True
10:30 p.m.,10:31 p.m.,10:29 p.m.,0.502682901080277,11:21 a.m.,0.9846708178520203,False,True,False,False
5:17 p.m.,5:14 p.m.,5:17 p.m.,0.5034145810623988,1:19 p.m.,0.40888598561286926,False,True,True,False
3:31 p.m.,,NAE,0.0,3:31 p.m.,0.9996967911720276,False,True,False,True
4:56 p.m.,4:54 p.m.,4:59 p.m.,0.503658471294618,4:56 p.m.,0.9999609589576721,False,True,False,True
11:21 a.m.,11:11 a.m.,11:12 a.m.,0.5034145810623988,11:21 a.m.,0.9985491633415222,False,True,False,True
6:55 a.m.,12/2/11 6:35 a.m.,NAE,0.5,8:02 a.m.,0.8962806463241577,False,True,False,False
7:17 a.m.,7:04 a.m.,7:51 a.m.,0.503658471294618,7:17 a.m.,0.998288094997406,False,True,False,True
5:26 a.m.,,NAE,0.0,5:26 a.m.,0.9948714375495911,False,True,False,True
6:28 p.m.,6:25 p.m.,6:15 p.m.,0.502682901080277,9:13 a.m.,0.4335824251174927,False,True,False,False
9:14 a.m.,,NAE,0.0,4:56 p.m.,0.579150378704071,False,True,False,False
1:19 p.m.,,NAE,0.0,1:19 p.m.,0.9999691247940063,False,True,False,True
1:27 p.m.,1:11 p.m.,1:19 p.m.,0.5034145810623988,3:21 p.m.,0.641636312007904,False,True,False,False
9:45 a.m.,9:29 a.m.,9:28 a.m.,0.5031706892052319,2:50 p.m.,0.8563557863235474,False,True,False,False
7:39 p.m.,7:37 p.m.,7:39 p.m.,0.5034145810623988,5:26 p.m.,0.4548823833465576,False,True,True,False
