actual,error,index,col,want_to_clean
al_pn-6,alxpn-6,920,state_average,1
al_pn-6,al_pnx6,842,state_average,1
al_ami-1,xl_xmi-1,827,state_average,1
al_scip-inf-2,xl_scip-inf-2,796,state_average,1
al_hf-4,al_hf-x,787,state_average,1
al_scip-vte-1,al_scix-vte-1,764,state_average,1
al_scip-inf-2,al_scipxinfx2,760,state_average,1
al_ami-7a,al_amx-7a,721,state_average,1
al_pn-3b,alxpn-3b,678,state_average,1
al_ami-7a,alxami-7a,646,state_average,1
al_ami-8a,al_amix8a,622,state_average,1
al_ami-2,xl_xmi-2,567,state_average,1
al_scip-vte-1,al_scipxvtex1,564,state_average,1
al_pn-5c,al_pn-5x,555,state_average,1
al_pn-2,ax_pn-2,477,state_average,1
al_hf-2,al_hx-2,387,state_average,1
al_scip-inf-2,al_sxip-inf-2,373,state_average,1
al_pn-7,alxpn-7,370,state_average,1
al_scip-vte-2,al_scipxvtex2,347,state_average,1
al_pn-2,al_pnx2,334,state_average,1
al_ami-1,al_axi-1,269,state_average,1
al_ami-5,xl_xmi-5,248,state_average,1
al_ami-1,ax_ami-1,244,state_average,1
al_scip-inf-2,al_sxip-inf-2,213,state_average,1
al_scip-vte-2,al_scix-vte-2,193,state_average,1
al_ami-1,al_amx-1,69,state_average,1
al_pn-3b,al_pn-xb,56,state_average,1
27 patients,27 paxienxs,972,sample,1
126 patients,126 patxents,905,sample,1
15 patients,15 patiexts,872,sample,1
121 patients,121 patiexts,866,sample,1
4 patients,4 patiexts,845,sample,1
193 patients,193 paxienxs,776,sample,1
618 patients,618 xatients,673,sample,1
87 patients,87 paxienxs,668,sample,1
172 patients,172 patxents,588,sample,1
50 patients,50 pxtients,580,sample,1
74 patients,74 patxents,554,sample,1
0 patients,x patients,546,sample,1
87 patients,87 patientx,532,sample,1
257 patients,25x patients,523,sample,1
44 patients,44 paxienxs,502,sample,1
0 patients,0 patxents,496,sample,1
62 patients,62 patientx,482,sample,1
0 patients,x patients,462,sample,1
521 patients,521 patiexts,444,sample,1
4 patients,4 xatients,418,sample,1
125 patients,125 patixnts,413,sample,1
10 patients,1x patients,354,sample,1
29 patients,29 xatients,316,sample,1
