Company,Executive,Title,Since,Notes,Updated,city,postal_code,state
Accenture,Julie Sweet,CEO,2019,"Succeeded Pierre Nanterme, died",2019-01-31,Houston,77065,Texas
Aditya Birla Group,Kumar Birla,Chairman,1995,Part of the Birla family business house in India,2018-10-01,Detroit,48242,Michigan
Adobe Systems,Shantanu Narayen,"Chairman, president and CEO",2007,Formerly with Apple Inc.,2018-10-01,Fort Worth,76192,Texas
Agenus,Garo H. Armen,"Founder, chairman, CEO",1994,Founder of the Children of Armenia Fund (COAF),2018-10-01,Littleton,80127,Colorado
Airbus,Guillaume Faury,CEO,2012,Succeeded Louis Gallois,2017-11-14,Indianapolis,46216,Indiana
Alibaba,Daniel Zhang,CEO,2015,Previously with Taobao,2018-10-01,Pittsburgh,15230,Pennsylvania
Amazon.com,Jeff Bezos,"Founder, President, CEO and chairman",1994,Founder of the firm and one of the world's wealthiest people,2018-10-01,Bronx,10474,New York
AMD,Lisa Su,CEO and president,2014,Formerly with Texas Instruments,2018-10-01,Pittsburgh,15250,Pennsylvania
American Express,Stephen Squeri,Chairman and CEO,2018,Former vice chairman of American Express since 2015,2018-10-01,Jamaica,11447,New York
American Airlines Group,Doug Parker,Chairman and CEO,2013,Previously CEO for US Airways,2018-10-01,Eugene,97405,Oregon
Anthem Inc.,Joseph R. Swedish,"Chairman, president and CEO",2013,"Previously with Centura Health and Trinity Health (Livonia, Michigan)",2018-10-01,Phoenix,85015,Arizona
Apple Inc.,Tim Cook,CEO,2011,Replaced Steve Jobs,2018-10-01,Spring,77388,Texas
Arcelor Mittal,Lakshmi Niwas Mittal,Chairman and CEO,2006,Owner of Queens Park Rangers F.C.,2018-10-01,Bozeman,59771,Montana
AT&T,John Stankey,CEO,2020,Former CEO of WarnerMedia,2020-11-19,Colorado Springs,80920,Colorado
BAE Systems,Charles Woodburn,Chief Executive Officer,2008,Succeeded Ian King,2018-10-01,Marietta,30066,Georgia
Bajaj Allianz General Insurance,Tapan Singhel,MD and CEO,2012,President of the Indo-German Chamber of Commerce,2018-10-01,Milwaukee,53220,Wisconsin
Banco Bilbao Vizcaya Argentaria,Carlos Torres Vila,Chairman and CEO,2015,Previously with Endesa,2018-10-01,Tucson,85710,Arizona
Bank of America,Brian Moynihan,Chairman and CEO,2009,Previously with FleetBoston Financial until it merged with BOA,2018-10-01,Fairbanks,99709,Alaska
Barclays,Jes Staley,Group Chief Executive,2015,Succeeded Antony Jenkins,2018-10-01,Suffolk,23436,Virginia
Berkshire Hathaway,Warren Buffett,Chairman and CEO,1970,One of the world's wealthiest people,2018-10-01,Columbus,43226,Ohio
